CASE#,DATE  OF OCCURRENCE,BLOCK,IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE491324,12/28/2021 6:20:00 PM,002XX E RANDOLPH ST,520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,N,N,114,42,04A,1177922,1901312,41.88452109,-87.62209989,"(41.884521087, -87.622099893)"
JE490724,12/28/2021 6:40:00 AM,005XX N HOMAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1121,27,14,1153616,1903434,41.89086217,-87.71129837,"(41.890862169, -87.711298365)"
JE394662,09/29/2021 10:40:00 PM,013XX S HALSTED ST,810,THEFT,OVER $500,STREET,N,N,1232,11,6,1171249,1893770,41.86397445,-87.64682534,"(41.86397445, -87.646825339)"
JF137015,12/25/2021 4:00:00 PM,012XX W 98TH ST,820,THEFT,$500 AND UNDER,RESIDENCE,N,N,2213,21,6,,,,,
JE492013,12/28/2021 8:00:00 PM,020XX W TOUHY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2424,49,14,1161563,1947830,42.01252537,-87.68087174,"(42.012525374, -87.68087174)"
JE391814,09/29/2021 2:24:00 PM,010XX N FRANCISCO AVE,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,HOSPITAL BUILDING / GROUNDS,N,N,1211,26,2,1156861,1906972,41.90050559,-87.69928504,"(41.900505589, -87.699285044)"
JE491743,12/28/2021 7:00:00 PM,014XX S TRUMBULL AVE,460,BATTERY,SIMPLE,APARTMENT,N,N,1021,24,08B,1153600,1892907,41.86197529,-87.71163716,"(41.861975288, -87.711637158)"
JE491148,12/28/2021 2:45:00 PM,050XX S EAST END AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,222,5,14,1188165,1871757,41.80318162,-87.58543202,"(41.803181616, -87.585432024)"
JE491477,12/28/2021 9:10:00 PM,022XX S WENTWORTH AVE,820,THEFT,$500 AND UNDER,ALLEY,N,N,914,25,6,1175319,1889687,41.85268013,-87.63200711,"(41.85268013, -87.632007113)"
JF100310,12/22/2021 10:00:00 AM,0000X W MONROE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,112,42,11,1175804,1899905,41.8807081,-87.62991973,"(41.880708104, -87.629919733)"
JE492965,12/28/2021 11:20:00 PM,037XX N KEDVALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,N,N,1731,45,14,1148186,1924383,41.9484545,-87.73069955,"(41.9484545, -87.730699545)"
JE484578,12/20/2021 4:30:00 PM,079XX S ELLIS AVE,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,N,N,624,8,5,1184270,1852569,41.75062013,-87.60031645,"(41.750620131, -87.600316454)"
JE398012,09/26/2021 9:00:00 AM,010XX W 104TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2232,34,11,1171295,1835855,41.70504804,-87.64835017,"(41.705048041, -87.648350171)"
JE490667,12/28/2021 2:54:00 AM,055XX W ADAMS ST,1310,CRIMINAL DAMAGE,TO PROPERTY,DRIVEWAY - RESIDENTIAL,N,N,1522,29,14,1139465,1898782,41.87836624,-87.76338199,"(41.878366235, -87.763381988)"
JE491483,12/28/2021 9:00:00 PM,021XX S MICHIGAN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,132,3,7,1177542,1890071,41.85368374,-87.62383646,"(41.853683741, -87.62383646)"
JE426646,10/27/2021 9:00:00 PM,078XX S ABERDEEN ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,612,17,7,1170342,1852900,41.75184272,-87.65134542,"(41.751842721, -87.651345416)"
JE492185,12/28/2021 4:00:00 PM,052XX S ELLIS AVE,810,THEFT,OVER $500,APARTMENT,N,Y,233,5,6,1183836,1870850,41.80079501,-87.60133661,"(41.800795006, -87.60133661)"
JE493612,11/27/2021 9:50:00 AM,013XX W LUNT AVE,820,THEFT,$500 AND UNDER,APARTMENT,N,N,2431,49,6,1165953,1946632,42.00914509,-87.66475326,"(42.009145091, -87.664753261)"
JF101018,12/27/2021 1:39:00 PM,084XX S LUELLA AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,412,7,11,1192644,1849424,41.74179011,-87.56973295,"(41.741790112, -87.569732952)"
JE490675,12/28/2021 3:00:00 AM,022XX N WESTERN AVE,610,BURGLARY,FORCIBLE ENTRY,TAVERN / LIQUOR STORE,N,N,1431,1,5,1159993,1914932,41.92228434,-87.6875609,"(41.92228434, -87.687560904)"
JE458635,11/27/2021 3:55:00 PM,006XX S STATE ST,460,BATTERY,SIMPLE,CTA PLATFORM,N,N,123,4,08B,1176452,1897617,41.8744151,-87.62760944,"(41.8744151, -87.627609439)"
JF100333,12/28/2021 10:00:00 PM,018XX W JACKSON BLVD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1225,27,7,1164248,1898656,41.87753281,-87.67238752,"(41.877532811, -87.672387519)"
JE491309,12/28/2021 6:06:00 PM,010XX W LAKE ST,860,THEFT,RETAIL THEFT,DRUG STORE,N,N,1214,27,6,1169328,1901620,41.88555738,-87.65364901,"(41.885557376, -87.65364901)"
JE490673,12/28/2021 3:20:00 AM,0000X E GARFIELD BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,Y,225,20,08A,1177772,1868448,41.79434325,-87.62364784,"(41.794343246, -87.623647843)"
JE391931,09/29/2021 2:30:00 PM,058XX N LINCOLN AVE,460,BATTERY,SIMPLE,SCHOOL - PUBLIC BUILDING,N,N,2011,40,08B,1155809,1938617,41.98736291,-87.7022934,"(41.987362912, -87.702293402)"
JE491802,12/28/2021 7:00:00 PM,065XX S KILPATRICK AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,833,13,14,1146172,1860826,41.77408465,-87.739718,"(41.774084649, -87.739718003)"
JE491634,12/28/2021 11:45:00 AM,014XX W 78TH ST,820,THEFT,$500 AND UNDER,STREET,N,N,612,17,6,1168080,1853024,41.7522319,-87.65963106,"(41.752231898, -87.659631055)"
JE490697,12/28/2021 4:53:00 AM,034XX W DOUGLAS BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1021,24,08B,1153682,1893243,41.86289568,-87.71132721,"(41.862895679, -87.711327211)"
JE424847,10/27/2021 9:45:00 PM,075XX S COLES AVE,460,BATTERY,SIMPLE,APARTMENT,N,N,421,7,08B,1196014,1855525,41.758449,-87.55718398,"(41.758448997, -87.557183984)"
JE491368,12/28/2021 7:28:00 PM,043XX W NORTH AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,BARBERSHOP,N,N,2534,26,04A,1146912,1910274,41.90976258,-87.73574402,"(41.909762582, -87.735744023)"
JE461386,10/23/2021 12:00:00 PM,018XX W MONTEREY AVE,1120,DECEPTIVE PRACTICE,FORGERY,GOVERNMENT BUILDING / PROPERTY,N,N,2212,19,10,1166084,1830700,41.69101402,-87.66757819,"(41.691014016, -87.667578189)"
JE491302,12/28/2021 5:45:00 PM,003XX W 101ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,511,9,14,1175673,1837952,41.71070583,-87.63225599,"(41.710705829, -87.63225599)"
JE490845,12/28/2021 3:20:00 AM,022XX W HURON ST,810,THEFT,OVER $500,STREET,N,N,1221,1,6,1161425,1904636,41.89400163,-87.68258631,"(41.894001632, -87.682586312)"
JE490681,12/28/2021 3:58:00 AM,019XX W PETERSON AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SMALL RETAIL STORE,N,N,2413,40,04A,1162090,1939875,41.99068559,-87.67915629,"(41.990685591, -87.679156288)"
JE490651,12/28/2021 1:35:00 AM,032XX S PAULINA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,912,12,08B,1165551,1882996,41.8345327,-87.66804878,"(41.834532698, -87.668048777)"
JE392052,09/29/2021 6:44:00 PM,033XX W 63RD ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,N,N,823,23,6,1155291,1862654,41.77892337,-87.70624024,"(41.778923367, -87.70624024)"
JE491330,12/28/2021 6:29:00 PM,015XX E 67TH PL,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,N,N,332,5,15,1187757,1860542,41.77241653,-87.58728523,"(41.772416526, -87.587285227)"
JE491003,12/28/2021 1:20:00 PM,013XX S SPRINGFIELD AVE,2026,NARCOTICS,POSSESS - PCP,SIDEWALK,Y,N,1011,24,18,1150596,1893417,41.86343395,-87.72265113,"(41.863433951, -87.722651134)"
JE482184,12/18/2021 10:15:00 PM,036XX S HALSTED ST,820,THEFT,$500 AND UNDER,STREET,N,N,915,11,6,1171572,1880473,41.82747927,-87.64603028,"(41.827479267, -87.646030276)"
JE494153,12/28/2021 5:44:00 AM,097XX S MORGAN ST,1090,ARSON,ATTEMPT ARSON,ALLEY,N,N,2223,34,9,1171367,1840261,41.71713719,-87.64795809,"(41.717137194, -87.647958093)"
JE493238,12/28/2021 1:00:00 PM,084XX S LUELLA AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,N,N,412,7,11,1192644,1849424,41.74179011,-87.56973295,"(41.741790112, -87.569732952)"
JE493898,11/13/2021 7:00:00 AM,019XX W OGDEN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOSPITAL BUILDING / GROUNDS,N,Y,1231,27,11,1163312,1897077,41.87321963,-87.67586867,"(41.873219626, -87.675868666)"
JE490945,12/28/2021 12:15:00 PM,012XX W 95TH ST,560,ASSAULT,SIMPLE,SMALL RETAIL STORE,N,N,2213,21,08A,1169792,1841775,41.7213261,-87.65368286,"(41.721326098, -87.653682861)"
JE391305,09/29/2021 8:50:00 AM,018XX W IRVING PARK RD,820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,N,N,1922,47,6,1163334,1926590,41.95420485,-87.67495611,"(41.954204854, -87.674956112)"
JE491382,12/28/2021 6:36:00 PM,036XX S PRAIRIE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,212,3,26,1178527,1880984,41.82872597,-87.620498,"(41.828725972, -87.620498003)"
JE491482,12/28/2021 9:30:00 PM,064XX N SHERIDAN RD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2432,49,7,1167085,1943221,41.99976092,-87.66068692,"(41.999760915, -87.66068692)"
JE493973,12/27/2021 4:59:00 PM,051XX S KENWOOD AVE,560,ASSAULT,SIMPLE,RESIDENCE,N,Y,234,4,08A,1185980,1871258,41.80186422,-87.59346108,"(41.801864216, -87.593461078)"
JE491346,12/28/2021 6:05:00 PM,017XX S STATE ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,STREET,N,N,131,3,10,1176607,1891844,41.85857012,-87.6272147,"(41.858570123, -87.627214699)"
JE491411,12/28/2021 8:10:00 PM,010XX W RANDOLPH ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1224,27,6,1169307,1901120,41.8841858,-87.65374067,"(41.884185797, -87.653740666)"
JE491220,12/28/2021 3:24:00 PM,119XX S EGGLESTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,N,N,522,34,14,1175443,1825778,41.67730369,-87.63346055,"(41.677303686, -87.633460547)"
JE491172,12/28/2021 2:30:00 PM,025XX E 73RD ST,460,BATTERY,SIMPLE,STREET,N,N,334,7,08B,1194460,1857149,41.76294371,-87.56282584,"(41.762943707, -87.562825838)"
JE392964,09/29/2021 11:12:00 AM,001XX N STATE ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,111,42,6,1176352,1900918,41.88347549,-87.62787697,"(41.883475491, -87.627876969)"
JE391428,09/29/2021 10:00:00 AM,049XX W ERIE ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,APARTMENT,N,N,1532,37,10,1143341,1903864,41.89224034,-87.74902292,"(41.892240341, -87.749022919)"
JE391534,09/29/2021 10:30:00 AM,031XX W MADISON ST,560,ASSAULT,SIMPLE,APARTMENT,N,N,1124,28,08A,1155522,1899851,41.88099194,-87.70439499,"(41.880991939, -87.704394994)"
JE391876,09/29/2021 3:30:00 PM,001XX E CHICAGO AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,1833,42,6,1177003,1905748,41.89671455,-87.62534014,"(41.896714548, -87.625340136)"
JE393737,09/29/2021 6:00:00 PM,014XX W WALTON ST,810,THEFT,OVER $500,RESIDENCE - GARAGE,N,N,1213,2,6,1166604,1906448,41.89886452,-87.66351362,"(41.898864524, -87.663513616)"
JE397855,09/25/2021 12:00:00 AM,009XX E GRAND AVE,820,THEFT,$500 AND UNDER,HOTEL / MOTEL,N,N,1834,42,6,1182641,1904157,41.89221925,-87.60468265,"(41.89221925, -87.604682647)"
JE397927,09/29/2021 3:45:00 AM,053XX N LAKEWOOD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2013,48,7,1166674,1935602,41.97886304,-87.66241846,"(41.97886304, -87.662418455)"
JE391885,09/29/2021 2:30:00 PM,018XX W 79TH ST,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,N,N,611,17,04B,1165558,1852295,41.75028524,-87.66889374,"(41.750285238, -87.668893737)"
JE391709,09/29/2021 1:15:00 PM,067XX S SOUTH SHORE DR,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,N,N,331,5,04B,1193391,1860745,41.7728376,-87.56662634,"(41.772837604, -87.566626344)"
JE460731,11/24/2021 7:00:00 PM,091XX S LA SALLE ST,560,ASSAULT,SIMPLE,RESIDENCE,N,N,634,21,08A,1176891,1844199,41.72782114,-87.62760791,"(41.727821137, -87.627607914)"
JE392062,09/29/2021 6:47:00 PM,040XX S MAPLEWOOD AVE,560,ASSAULT,SIMPLE,RESIDENCE,Y,N,921,12,08A,1160032,1877716,41.82015927,-87.68844494,"(41.820159271, -87.688444935)"
JE491281,12/28/2021 5:30:00 PM,010XX W 77TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,612,17,11,1170556,1853756,41.75418704,-87.65053631,"(41.75418704, -87.65053631)"
JE492012,12/28/2021 7:00:00 PM,024XX W 46TH PL,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),N,N,922,15,26,1160917,1873779,41.80933739,-87.68530726,"(41.809337392, -87.685307264)"
JE491597,12/28/2021 7:30:00 PM,073XX N SHERIDAN RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2423,49,14,1165891,1948952,42.01551254,-87.66491473,"(42.015512535, -87.664914725)"
JE491363,12/28/2021 7:00:00 PM,021XX S MICHIGAN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,132,3,7,1177540,1890161,41.85393075,-87.62384107,"(41.853930752, -87.623841071)"
JE491770,12/28/2021 9:00:00 PM,067XX N DAMEN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,N,N,2412,50,7,1161735,1944675,42.00386437,-87.68032742,"(42.003864374, -87.680327417)"
JE491136,12/28/2021 3:20:00 PM,040XX W ARMITAGE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,2525,26,08B,1149310,1912987,41.91716113,-87.72686423,"(41.917161131, -87.726864226)"
JE491681,12/28/2021 6:20:00 PM,036XX N NEWLAND AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,N,Y,1632,38,26,1129430,1923469,41.94628756,-87.79966502,"(41.946287558, -87.799665023)"
JF100730,12/27/2021 2:30:00 PM,042XX S WENTWORTH AVE,460,BATTERY,SIMPLE,GAS STATION,N,N,925,3,08B,1175637,1876744,41.81715636,-87.63122825,"(41.817156358, -87.631228252)"
JE491460,12/28/2021 10:15:00 PM,085XX W CATALPA AVE,560,ASSAULT,SIMPLE,APARTMENT,N,Y,1614,41,08A,1118313,1935412,41.9792433,-87.84027596,"(41.979243301, -87.840275962)"
JE493841,12/17/2021 6:30:00 PM,055XX W ADAMS ST,820,THEFT,$500 AND UNDER,STREET,N,N,1522,29,6,1139439,1898781,41.87836397,-87.76347748,"(41.878363965, -87.76347748)"
JE490871,12/28/2021 10:51:00 AM,016XX W 18TH ST,560,ASSAULT,SIMPLE,BARBERSHOP,N,N,1234,25,08A,1165585,1891464,41.85776899,-87.66768319,"(41.857768985, -87.667683189)"
JE491819,12/28/2021 9:00:00 AM,076XX S KEDZIE AVE,460,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,N,N,835,18,08B,1156366,1853877,41.75481635,-87.70253515,"(41.754816353, -87.702535145)"
JE491488,12/28/2021 11:06:00 PM,032XX W 66TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - YARD (FRONT / BACK),N,Y,831,17,14,1155915,1860351,41.77259108,-87.70401437,"(41.77259108, -87.704014367)"
JE494079,12/25/2021 4:00:00 PM,019XX N SAYRE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,N,N,2513,29,14,1129283,1912023,41.91488084,-87.80046684,"(41.914880841, -87.800466836)"
JF101349,12/18/2021 7:30:00 PM,035XX W DICKENS AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1413,26,5,1152738,1913734,41.91914375,-87.71424984,"(41.919143753, -87.714249841)"
JE492390,12/28/2021 10:00:00 AM,054XX N NEENAH AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,Y,1613,45,5,1131923,1935689,41.97977753,-87.79021667,"(41.979777533, -87.79021667)"
JE397395,09/27/2021 9:30:00 AM,133XX S BALTIMORE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,433,10,7,1199102,1817064,41.65283154,-87.54715381,"(41.652831535, -87.547153814)"
JE397686,09/24/2021 7:00:00 PM,035XX S MORGAN ST,460,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,N,N,915,11,08B,1170219,1881537,41.83042858,-87.65096322,"(41.83042858, -87.65096322)"
JE493647,11/26/2021 3:20:00 PM,068XX N RIDGE BLVD,890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,2424,49,6,1161705,1945358,42.00573917,-87.68041862,"(42.005739173, -87.680418624)"
JE490701,12/21/2021 5:00:00 AM,029XX W IRVING PARK RD,610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,N,N,1733,33,5,1156254,1926448,41.9539615,-87.70098703,"(41.9539615, -87.700987028)"
JE491355,12/28/2021 3:30:00 PM,055XX W MONROE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1522,29,7,1139656,1899116,41.87927929,-87.76267251,"(41.879279292, -87.762672513)"
JE491026,12/28/2021 1:00:00 PM,043XX S BERKELEY AVE,560,ASSAULT,SIMPLE,RESIDENCE,N,N,222,4,08A,1183984,1876433,41.81611172,-87.60061929,"(41.816111719, -87.600619293)"
JE491334,12/28/2021 6:37:00 PM,017XX N WOLCOTT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1434,32,08B,1163414,1911584,41.91302582,-87.67508556,"(41.913025824, -87.67508556)"
JE491515,12/28/2021 11:35:00 PM,008XX N CICERO AVE,2160,NARCOTICS,SALE / DELIVER - DRUG PARAPHERNALIA,VEHICLE NON-COMMERCIAL,N,N,1531,37,26,1144207,1904976,41.89527557,-87.74581447,"(41.895275569, -87.745814465)"
JE490995,12/12/2021 11:57:00 PM,009XX N ASHLAND AVE,810,THEFT,OVER $500,STREET,N,N,1213,1,6,1165552,1906522,41.89909006,-87.66737544,"(41.899090059, -87.667375442)"
JE491073,12/28/2021 12:00:00 AM,011XX N LAMON AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1531,37,08B,1143486,1907300,41.90166641,-87.74840436,"(41.901666407, -87.748404355)"
JE491198,12/28/2021 3:40:00 PM,062XX S KEDZIE AVE,560,ASSAULT,SIMPLE,STREET,N,N,823,16,08A,1156125,1863120,41.78018541,-87.70317018,"(41.78018541, -87.703170178)"
JE491417,12/28/2021 8:37:00 PM,109XX S COTTAGE GROVE AVE,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,STREET,Y,N,513,9,18,1182004,1832447,41.6954556,-87.60924028,"(41.695455598, -87.609240275)"
JE490777,12/28/2021 8:37:00 AM,003XX W CHICAGO AVE,860,THEFT,RETAIL THEFT,DRUG STORE,N,N,1831,42,6,1174001,1905669,41.89656522,-87.63636822,"(41.896565217, -87.636368223)"
JE492010,12/28/2021 11:00:00 PM,073XX S EAST END AVE,820,THEFT,$500 AND UNDER,APARTMENT,N,N,324,8,6,1188805,1856748,41.76198046,-87.58356485,"(41.761980459, -87.583564852)"
JE490952,12/28/2021 2:45:00 AM,032XX S ARCHER AVE,820,THEFT,$500 AND UNDER,GAS STATION,N,N,912,11,6,1164849,1883051,41.83469851,-87.67062305,"(41.834698514, -87.670623045)"
JE492133,12/28/2021 6:26:00 PM,073XX N SHERIDAN RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2423,49,14,1166081,1948481,42.01421603,-87.66422914,"(42.014216031, -87.664229139)"
JE490778,12/28/2021 8:40:00 AM,035XX W FRANKLIN BLVD,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,APARTMENT,N,Y,1121,27,26,1152583,1903103,41.88997436,-87.71510084,"(41.889974359, -87.715100836)"
JE490674,12/28/2021 3:07:00 AM,071XX N DAMEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2424,49,14,1161738,1947505,42.01162991,-87.68023695,"(42.011629905, -87.680236954)"
JE488910,12/25/2021 9:00:00 PM,078XX S COLES AVE,498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,N,Y,421,7,04B,1197407,1853828,41.75375771,-87.55213534,"(41.75375771, -87.552135344)"
JE493443,12/15/2021 12:00:00 AM,098XX S SEELEY AVE,583,STALKING,CYBERSTALKING,RESIDENCE,N,Y,2213,19,08A,1164424,1839476,41.71513188,-87.67340941,"(41.715131884, -87.67340941)"
JE436454,11/06/2021 7:30:00 PM,018XX W FULLERTON AVE,560,ASSAULT,SIMPLE,OTHER (SPECIFY),N,Y,1931,32,08A,1163765,1915979,41.92507859,-87.67367187,"(41.92507859, -87.673671871)"
JE491353,12/28/2021 6:25:00 PM,037XX N LARAMIE AVE,560,ASSAULT,SIMPLE,STREET,Y,N,1634,45,08A,1141037,1924189,41.94805707,-87.75698297,"(41.948057071, -87.756982971)"
JE490768,12/28/2021 8:15:00 AM,010XX N SPRINGFIELD AVE,460,BATTERY,SIMPLE,APARTMENT,Y,Y,1112,37,08B,1150195,1906693,41.89987257,-87.72377704,"(41.899872567, -87.723777036)"
JE493907,11/03/2021 8:00:00 PM,103XX S DOTY AVE E,810,THEFT,OVER $500,OTHER (SPECIFY),N,N,434,10,6,1189757,1836996,41.70775621,-87.58070877,"(41.707756212, -87.580708771)"
JE490772,12/28/2021 12:00:00 AM,073XX N PAULINA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2423,49,14,1163841,1948865,42.01531748,-87.67246048,"(42.015317484, -87.67246048)"
JE492096,12/28/2021 2:00:00 PM,058XX S TRUMBULL AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,822,23,11,1154376,1865765,41.78747868,-87.709512,"(41.787478677, -87.709511997)"
JE490713,12/28/2021 5:43:00 AM,0000X W 43RD PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,215,3,14,1176584,1876170,41.81555997,-87.62777172,"(41.815559966, -87.627771716)"
JE491143,12/28/2021 5:40:00 AM,015XX W FARGO AVE,890,THEFT,FROM BUILDING,APARTMENT,N,N,2422,49,6,1164752,1949523,42.0171037,-87.66908954,"(42.017103697, -87.66908954)"
JE490938,12/28/2021 2:00:00 AM,107XX S PERRY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,513,34,08B,1177505,1833721,41.69905425,-87.6256742,"(41.699054245, -87.625674197)"
JE490762,12/28/2021 12:00:00 AM,035XX W FULLERTON AVE,610,BURGLARY,FORCIBLE ENTRY,TAVERN / LIQUOR STORE,N,N,1413,35,5,1152147,1915723,41.92461343,-87.71636868,"(41.924613427, -87.716368682)"
JE491431,12/28/2021 8:30:00 PM,068XX S UNION AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,723,6,08B,1172916,1859614,41.77021039,-87.64171509,"(41.770210385, -87.641715094)"
JE490996,12/28/2021 11:55:00 AM,042XX S KEELER AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,815,14,04A,1149208,1876355,41.81664056,-87.72818771,"(41.816640559, -87.728187713)"
JE492059,12/28/2021 5:17:00 PM,007XX N MICHIGAN AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1834,42,6,1177303,1905177,41.8951409,-87.62425563,"(41.895140898, -87.624255632)"
JF100760,12/01/2021 12:00:00 AM,071XX S FAIRFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,831,18,14,1159276,1857141,41.76371422,-87.69178155,"(41.763714219, -87.691781545)"
JE494032,12/16/2021 8:00:00 AM,030XX W JARVIS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2411,50,11,1154974,1948894,42.01558028,-87.70508722,"(42.015580277, -87.705087224)"
JE470607,12/08/2021 3:37:00 PM,009XX E 47TH ST,495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,APARTMENT,Y,N,222,4,04B,1183500,1874048,41.80957841,-87.60246909,"(41.809578412, -87.602469089)"
JE491512,12/28/2021 12:00:00 AM,076XX S ST LAWRENCE AVE,880,THEFT,PURSE-SNATCHING,RESIDENCE,N,Y,624,6,6,1181558,1854483,41.75593533,-87.61019545,"(41.755935326, -87.610195449)"
JE490863,12/28/2021 10:49:00 AM,025XX W NORTH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,MEDICAL / DENTAL OFFICE,N,N,1434,1,14,1159369,1910557,41.91029188,-87.68997426,"(41.910291883, -87.689974258)"
JE492345,12/27/2021 1:27:00 PM,103XX S PROSPECT AVE,266,CRIMINAL SEXUAL ASSAULT,PREDATORY,APARTMENT,N,N,2212,19,2,1167548,1836199,41.706073,-87.66206144,"(41.706073, -87.662061438)"
JE491932,12/28/2021 2:00:00 AM,055XX W NORTH AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2532,37,7,1138935,1910082,41.90938448,-87.76505325,"(41.909384478, -87.765053252)"
JE491414,12/28/2021 7:05:00 PM,036XX S PRAIRIE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,212,3,08A,1178527,1880984,41.82872597,-87.620498,"(41.828725972, -87.620498003)"
JF101044,12/23/2021 6:05:00 PM,028XX W GRANVILLE AVE,810,THEFT,OVER $500,STREET,N,N,2413,50,6,1156334,1941028,41.99396817,-87.70029688,"(41.993968174, -87.700296875)"
